Brand_Name,Material_Type,Carbon_Footprint_MT
Brand_137,Hemp,175.32
Brand_138,Organic Cotton,296.75
Brand_139,Tencel,305.66
Brand_140,Organic Cotton,95.73
Brand_141,Bamboo Fabric,445.67
Brand_142,Hemp,275.48
Brand_143,Bamboo Fabric,199.17
Brand_144,Hemp,332.24
Brand_145,Bamboo Fabric,15.44
Brand_146,Bamboo Fabric,164.31
Brand_147,Hemp,374.79
Brand_148,Tencel,184.92
Brand_149,Recycled Polyester,351.17
Brand_150,Recycled Polyester,309.84
Brand_151,Hemp,482.8
Brand_152,Hemp,243.15
Brand_153,Hemp,1.61
Brand_154,Tencel,30.67
Brand_155,Organic Cotton,302.58
Brand_156,Vegan Leather,31.91
Brand_157,Vegan Leather,58.51
Brand_158,Hemp,433.37
Brand_159,Bamboo Fabric,321.76
Brand_160,Tencel,72.99
Brand_161,Tencel,268.11
Brand_162,Tencel,367.23
Brand_163,Recycled Polyester,484.3
Brand_164,Recycled Polyester,133.6
Brand_165,Tencel,464.76
Brand_166,Recycled Polyester,356.35
Brand_167,Vegan Leather,49.09
Brand_168,Hemp,376.08
Brand_169,Organic Cotton,112.55
Brand_170,Recycled Polyester,194.09
Brand_171,Hemp,310.24
Brand_172,Hemp,69.18
Brand_173,Vegan Leather,171.53
Brand_174,Tencel,291.16
Brand_175,Bamboo Fabric,94.76
Brand_176,Organic Cotton,147.84
Brand_177,Organic Cotton,236.5
Brand_178,Hemp,274.42
Brand_179,Hemp,229.15
Brand_180,Bamboo Fabric,319.19
Brand_181,Tencel,198.51
Brand_182,Organic Cotton,40.01
Brand_183,Bamboo Fabric,380.3
Brand_184,Bamboo Fabric,295.12
Brand_185,Organic Cotton,1.33
Brand_186,Bamboo Fabric,344.71
Brand_187,Hemp,402.76
Brand_188,Organic Cotton,307.52
Brand_189,Vegan Leather,378.19
Brand_190,Recycled Polyester,92.96
Brand_191,Bamboo Fabric,128.26
Brand_192,Tencel,409.84
Brand_193,Hemp,429.34
Brand_194,Organic Cotton,229.33
Brand_195,Bamboo Fabric,431.56
Brand_196,Vegan Leather,463.02
Brand_197,Hemp,132.8
Brand_198,Vegan Leather,316.26
Brand_199,Vegan Leather,441.9
Brand_200,Recycled Polyester,223.54
Brand_201,Hemp,207.42
Brand_202,Recycled Polyester,439.75
Brand_203,Bamboo Fabric,215.83
Brand_204,Tencel,85.62
Brand_205,Tencel,45.97
Brand_206,Hemp,113.24
Brand_207,Recycled Polyester,135.93
Brand_208,Vegan Leather,409.95
Brand_209,Organic Cotton,187.78
Brand_210,Organic Cotton,251.03
Brand_211,Hemp,456.1
Brand_212,Hemp,393.08
Brand_213,Vegan Leather,358.33
Brand_214,Hemp,60.27
Brand_215,Organic Cotton,258.78
Brand_216,Organic Cotton,375.86
Brand_217,Bamboo Fabric,401.5
Brand_218,Bamboo Fabric,457.72
Brand_219,Hemp,438.24
Brand_220,Tencel,228.76
Brand_221,Vegan Leather,14.82
Brand_222,Recycled Polyester,52.33
Brand_223,Vegan Leather,170.42
Brand_224,Bamboo Fabric,316.91
Brand_225,Recycled Polyester,440.72
Brand_226,Vegan Leather,252.89
Brand_227,Hemp,354.79
Brand_228,Recycled Polyester,9.25
Brand_229,Bamboo Fabric,39.92
Brand_230,Recycled Polyester,215.87
Brand_231,Hemp,22.95
Brand_232,Tencel,368.3
Brand_233,Recycled Polyester,360.08
Brand_234,Vegan Leather,476.19
Brand_235,Organic Cotton,244.42
Brand_236,Bamboo Fabric,473.36
Brand_237,Recycled Polyester,361.5
Brand_238,Bamboo Fabric,248.57
Brand_239,Bamboo Fabric,456.18
Brand_240,Bamboo Fabric,378.81
Brand_241,Recycled Polyester,127.31
Brand_242,Recycled Polyester,231.13
Brand_243,Recycled Polyester,146.41
Brand_244,Organic Cotton,30.14
Brand_245,Vegan Leather,456.43
Brand_246,Hemp,424.64
Brand_247,Recycled Polyester,358.62
Brand_248,Vegan Leather,212.98
Brand_249,Bamboo Fabric,405.24
Brand_250,Tencel,449.32
Brand_251,Vegan Leather,429.1
Brand_252,Organic Cotton,405.73
Brand_253,Recycled Polyester,355.93
Brand_254,Bamboo Fabric,241.81
Brand_255,Tencel,484.16
Brand_256,Tencel,268.02
Brand_257,Bamboo Fabric,489.8
Brand_258,Organic Cotton,342.09
Brand_259,Hemp,188.71
Brand_260,Tencel,235.52
Brand_261,Tencel,21.21
Brand_262,Organic Cotton,192.97
Brand_263,Hemp,363.68
Brand_264,Recycled Polyester,314.68
Brand_265,Hemp,370.35
Brand_266,Tencel,208.21
Brand_267,Bamboo Fabric,428.15
Brand_268,Bamboo Fabric,48.32
Brand_269,Organic Cotton,391.59
Brand_270,Hemp,105.99
Brand_271,Recycled Polyester,341.15
Brand_272,Organic Cotton,66.27
Brand_273,Bamboo Fabric,378.96
Brand_274,Bamboo Fabric,416.73
Brand_275,Bamboo Fabric,274.48
Brand_276,Hemp,249.48
Brand_277,Organic Cotton,307.03
Brand_278,Vegan Leather,146.9
Brand_279,Tencel,84.22
Brand_280,Hemp,292.56
Brand_281,Recycled Polyester,288.15
Brand_282,Bamboo Fabric,158.6
Brand_283,Recycled Polyester,111.47
Brand_284,Bamboo Fabric,227.96
Brand_285,Hemp,421.99
Brand_286,Hemp,460.59
Brand_287,Recycled Polyester,64.95
Brand_288,Bamboo Fabric,451.3
Brand_289,Bamboo Fabric,168.92
Brand_290,Bamboo Fabric,101.57
Brand_291,Recycled Polyester,317.71
Brand_292,Recycled Polyester,82.69
Brand_293,Recycled Polyester,92.62
Brand_294,Vegan Leather,18.94
Brand_295,Hemp,246.43
Brand_296,Bamboo Fabric,109.86
Brand_297,Organic Cotton,42.31
Brand_298,Recycled Polyester,336.43
Brand_299,Vegan Leather,221.83
Brand_300,Bamboo Fabric,186.18
Brand_301,Bamboo Fabric,468.72
Brand_302,Tencel,153.28
Brand_303,Organic Cotton,175.69
Brand_304,Hemp,182.74
Brand_305,Bamboo Fabric,218.29
Brand_306,Vegan Leather,242.69
Brand_307,Hemp,93.85
Brand_308,Tencel,232.78
Brand_309,Vegan Leather,299.79
Brand_310,Hemp,155.25
Brand_311,Recycled Polyester,110.91
Brand_312,Hemp,233.8
Brand_313,Recycled Polyester,412.2
Brand_314,Bamboo Fabric,347.55
Brand_315,Vegan Leather,342.44
Brand_316,Hemp,330.19
Brand_317,Organic Cotton,130.83
Brand_318,Tencel,381.07
Brand_319,Hemp,285.18
Brand_320,Bamboo Fabric,200.8
Brand_321,Tencel,240.45
Brand_322,Vegan Leather,429.31
Brand_323,Tencel,426.88
Brand_324,Tencel,33.75
Brand_325,Organic Cotton,445.94
Brand_326,Tencel,92.04
Brand_327,Hemp,86.56
Brand_328,Organic Cotton,188.92
Brand_329,Bamboo Fabric,257.55
Brand_330,Hemp,395.59
Brand_331,Tencel,95.04
Brand_332,Recycled Polyester,71.81
Brand_333,Recycled Polyester,247.08
Brand_334,Bamboo Fabric,200.51
Brand_335,Recycled Polyester,279.67
Brand_336,Vegan Leather,473.58
Brand_337,Organic Cotton,434.83
Brand_338,Bamboo Fabric,291.23
Brand_339,Recycled Polyester,189.13
Brand_340,Tencel,128.36
Brand_341,Organic Cotton,86.69
Brand_342,Organic Cotton,33.19
Brand_343,Hemp,305.61
Brand_344,Hemp,441.86
Brand_345,Hemp,469.99
Brand_346,Recycled Polyester,370.32
Brand_347,Vegan Leather,290.71
Brand_348,Bamboo Fabric,81.98
Brand_349,Vegan Leather,266.21
Brand_350,Recycled Polyester,159.92
Brand_351,Vegan Leather,152.79
Brand_352,Bamboo Fabric,246.1
Brand_353,Recycled Polyester,201
Brand_354,Bamboo Fabric,188.89
Brand_355,Bamboo Fabric,325.16
Brand_356,Tencel,99.76
Brand_357,Tencel,268.05
Brand_358,Hemp,270.76
Brand_359,Recycled Polyester,49.65
Brand_360,Organic Cotton,403.74
Brand_361,Organic Cotton,217.15
Brand_362,Tencel,431.43
Brand_363,Recycled Polyester,293.46
Brand_364,Organic Cotton,336.15
Brand_365,Tencel,3.58
Brand_366,Bamboo Fabric,494.61
Brand_367,Tencel,218
Brand_368,Recycled Polyester,293.87
Brand_369,Hemp,346.28
Brand_370,Hemp,386.41
Brand_371,Vegan Leather,388.35
Brand_372,Hemp,75.22
Brand_373,Organic Cotton,417.55
Brand_374,Recycled Polyester,382.34
Brand_375,Recycled Polyester,214.55
Brand_376,Tencel,361.16
Brand_377,Vegan Leather,353.66
Brand_378,Vegan Leather,231.86
Brand_379,Hemp,444.64
Brand_380,Vegan Leather,369.27
Brand_381,Bamboo Fabric,17.72
Brand_382,Tencel,16.06
Brand_383,Vegan Leather,26
Brand_384,Organic Cotton,79.98
Brand_385,Vegan Leather,96.71
Brand_386,Recycled Polyester,342.75
Brand_387,Vegan Leather,207.74
Brand_388,Bamboo Fabric,59.51
Brand_389,Vegan Leather,289.02
Brand_390,Recycled Polyester,270.66
Brand_391,Recycled Polyester,453.42
Brand_392,Bamboo Fabric,208.05
Brand_393,Vegan Leather,319.9
Brand_394,Vegan Leather,224.32
Brand_395,Bamboo Fabric,173.35
Brand_396,Hemp,95.45
Brand_397,Organic Cotton,137.05
Brand_398,Hemp,73.86
Brand_399,Hemp,128.07
Brand_400,Recycled Polyester,246.54
Brand_401,Recycled Polyester,463.64
Brand_402,Vegan Leather,26.56
Brand_403,Hemp,257.09
Brand_404,Bamboo Fabric,472.72
Brand_405,Recycled Polyester,317.26
Brand_406,Bamboo Fabric,52.62
Brand_407,Recycled Polyester,179.77
Brand_408,Recycled Polyester,310.49
Brand_409,Hemp,17.33
Brand_410,Tencel,153.37
Brand_411,Recycled Polyester,37.6
Brand_412,Bamboo Fabric,42.36
Brand_413,Recycled Polyester,335.15
Brand_414,Recycled Polyester,286.36
Brand_415,Tencel,176.13
Brand_416,Organic Cotton,354.9
Brand_417,Organic Cotton,218.79
Brand_418,Organic Cotton,187.85
Brand_419,Vegan Leather,348.13
Brand_420,Tencel,357.72
Brand_421,Recycled Polyester,302.15
Brand_422,Tencel,134.49
Brand_423,Recycled Polyester,185.93
Brand_424,Organic Cotton,266.23
Brand_425,Tencel,118.87
Brand_426,Recycled Polyester,430.21
Brand_427,Bamboo Fabric,429.68
Brand_428,Recycled Polyester,360.25
Brand_429,Organic Cotton,232.89
Brand_430,Vegan Leather,251.71
Brand_431,Tencel,49.75
Brand_432,Recycled Polyester,389.34
Brand_433,Tencel,230.52
Brand_434,Vegan Leather,128.36
Brand_435,Tencel,88.04
Brand_436,Tencel,411.45
Brand_437,Tencel,454.9
Brand_438,Tencel,311.5
Brand_439,Bamboo Fabric,271.44
Brand_440,Vegan Leather,337.74
Brand_441,Organic Cotton,210.64
Brand_442,Organic Cotton,400.42
Brand_443,Hemp,246.06
Brand_444,Tencel,14.92
Brand_445,Hemp,123.13
Brand_446,Vegan Leather,306.66
Brand_447,Bamboo Fabric,255.35
Brand_448,Recycled Polyester,289.71
Brand_449,Tencel,382.91
Brand_450,Bamboo Fabric,432.33
Brand_451,Organic Cotton,46.58
Brand_452,Vegan Leather,31.57
Brand_453,Vegan Leather,63.29
Brand_454,Recycled Polyester,234.71
Brand_455,Organic Cotton,337.42
Brand_456,Organic Cotton,97.86
Brand_457,Organic Cotton,479.98
Brand_458,Tencel,131.45
Brand_459,Hemp,300.89
Brand_460,Tencel,311.46
Brand_461,Vegan Leather,259.39
Brand_462,Bamboo Fabric,137.37
Brand_463,Vegan Leather,319.87
Brand_464,Hemp,437.15
Brand_465,Organic Cotton,172.19
Brand_466,Recycled Polyester,499.6
Brand_467,Bamboo Fabric,190.23
Brand_468,Vegan Leather,432.32
Brand_469,Organic Cotton,456.05
Brand_470,Organic Cotton,318.85
Brand_471,Bamboo Fabric,102.73
Brand_472,Recycled Polyester,301.66
Brand_473,Vegan Leather,212.21
Brand_474,Recycled Polyester,180.9
Brand_475,Tencel,462.54
Brand_476,Recycled Polyester,271.68
Brand_477,Hemp,381.8
Brand_478,Vegan Leather,26.56
Brand_479,Bamboo Fabric,329.04
Brand_480,Tencel,129.36
Brand_481,Hemp,140.03
Brand_482,Hemp,64.44
Brand_483,Recycled Polyester,404.51
Brand_484,Recycled Polyester,468.49
Brand_485,Organic Cotton,210.62
Brand_486,Tencel,286.24
Brand_487,Hemp,85.24
Brand_488,Vegan Leather,432.5
Brand_489,Vegan Leather,194.81
Brand_490,Tencel,425
Brand_491,Tencel,304.76
Brand_492,Bamboo Fabric,39.51
Brand_493,Organic Cotton,140.84
Brand_494,Hemp,286.58
Brand_495,Tencel,201.35
Brand_496,Bamboo Fabric,456.03
Brand_497,Bamboo Fabric,61.01
Brand_498,Bamboo Fabric,59.48
Brand_499,Organic Cotton,145.76
Brand_500,Organic Cotton,308.83
Brand_501,Recycled Polyester,170.9
Brand_502,Organic Cotton,131.63
Brand_503,Vegan Leather,196.71
Brand_504,Recycled Polyester,269.88
Brand_505,Recycled Polyester,393.51
Brand_506,Bamboo Fabric,202.15
Brand_507,Recycled Polyester,449.31
Brand_508,Hemp,336.5
Brand_509,Hemp,260.41
Brand_510,Bamboo Fabric,385.48
Brand_511,Bamboo Fabric,224.19
Brand_512,Bamboo Fabric,234.08
Brand_513,Bamboo Fabric,168.09
Brand_514,Tencel,318.99
Brand_515,Hemp,419.46
Brand_516,Hemp,132.4
Brand_517,Hemp,153.23
Brand_518,Bamboo Fabric,308.26
Brand_519,Bamboo Fabric,154.15
Brand_520,Hemp,103.2
Brand_521,Bamboo Fabric,109.36
Brand_522,Hemp,293.77
Brand_523,Organic Cotton,373.02
Brand_524,Recycled Polyester,427.83
Brand_525,Hemp,396.07
Brand_526,Recycled Polyester,449.6
Brand_527,Bamboo Fabric,491.94
Brand_528,Bamboo Fabric,424.29
Brand_529,Tencel,486.54
Brand_530,Hemp,255.44
Brand_531,Hemp,330.66
Brand_532,Recycled Polyester,433.68
Brand_533,Recycled Polyester,356.99
Brand_534,Vegan Leather,451.1
Brand_535,Organic Cotton,425.41
Brand_536,Organic Cotton,66.87
Brand_537,Recycled Polyester,179.98
Brand_538,Hemp,95.69
Brand_539,Organic Cotton,238
Brand_540,Organic Cotton,471.22
Brand_541,Recycled Polyester,235.36
Brand_542,Vegan Leather,383.41
Brand_543,Vegan Leather,353.21
Brand_544,Vegan Leather,11.1
Brand_545,Tencel,479.33
Brand_546,Bamboo Fabric,437.92
Brand_547,Tencel,257.76
Brand_548,Recycled Polyester,430.97
Brand_549,Organic Cotton,11.3
Brand_550,Bamboo Fabric,33.94
Brand_551,Vegan Leather,275.31
Brand_552,Hemp,294.12
Brand_553,Vegan Leather,137.58
Brand_554,Vegan Leather,349.62
Brand_555,Hemp,83.26
Brand_556,Tencel,317.56
Brand_557,Tencel,293.77
Brand_558,Organic Cotton,275.39
Brand_559,Bamboo Fabric,73.53
Brand_560,Tencel,346.79
Brand_561,Organic Cotton,453.47
Brand_562,Recycled Polyester,65.32
Brand_563,Tencel,65.21
Brand_564,Tencel,120.03
Brand_565,Bamboo Fabric,476.37
Brand_566,Organic Cotton,207.33
Brand_567,Vegan Leather,163.49
Brand_568,Bamboo Fabric,187.97
Brand_569,Vegan Leather,228.47
Brand_570,Hemp,305.93
Brand_571,Bamboo Fabric,415.91
Brand_572,Bamboo Fabric,85.18
Brand_573,Organic Cotton,21.75
Brand_574,Vegan Leather,435.78
Brand_575,Organic Cotton,335.54
Brand_576,Hemp,445.26
Brand_577,Bamboo Fabric,222.85
Brand_578,Recycled Polyester,481.22
Brand_579,Vegan Leather,60.21
Brand_580,Bamboo Fabric,191.38
Brand_581,Organic Cotton,134.85
Brand_582,Vegan Leather,75.17
Brand_583,Bamboo Fabric,310.98
Brand_584,Recycled Polyester,203.85
Brand_585,Organic Cotton,201.7
Brand_586,Recycled Polyester,185.28
Brand_587,Hemp,366.81
Brand_588,Bamboo Fabric,7.11
Brand_589,Recycled Polyester,133.64
Brand_590,Hemp,307.56
Brand_591,Tencel,336.56
Brand_592,Vegan Leather,452.96
Brand_593,Tencel,110.45
Brand_594,Vegan Leather,422.03
Brand_595,Organic Cotton,17.3
Brand_596,Tencel,374.63
Brand_597,Hemp,45.3
Brand_598,Hemp,499.59
Brand_599,Tencel,14.43
Brand_600,Hemp,280.84
Brand_601,Hemp,30.74
Brand_602,Organic Cotton,198.89
Brand_603,Tencel,235.08
Brand_604,Vegan Leather,333.25
Brand_605,Organic Cotton,54.76
Brand_606,Recycled Polyester,498.31
Brand_607,Bamboo Fabric,16.71
Brand_608,Tencel,328.94
Brand_609,Bamboo Fabric,299.71
Brand_610,Organic Cotton,365.08
Brand_611,Bamboo Fabric,171.06
Brand_612,Hemp,338.61
Brand_613,Vegan Leather,317.34
Brand_614,Tencel,45.62
Brand_615,Recycled Polyester,420.49
Brand_616,Bamboo Fabric,264.11
Brand_617,Bamboo Fabric,168.64
Brand_618,Hemp,373.74
Brand_619,Bamboo Fabric,391.13
Brand_620,Bamboo Fabric,385.2
Brand_621,Organic Cotton,278.92
Brand_622,Tencel,57.52
Brand_623,Tencel,126.85
Brand_624,Bamboo Fabric,44.64
Brand_625,Vegan Leather,353.05
Brand_626,Organic Cotton,37.85
Brand_627,Recycled Polyester,416.71
Brand_628,Tencel,71.04
Brand_629,Vegan Leather,145.78
Brand_630,Tencel,14.53
Brand_631,Recycled Polyester,324.73
Brand_632,Recycled Polyester,337.81
Brand_633,Recycled Polyester,75.62
Brand_634,Vegan Leather,280.68
Brand_635,Bamboo Fabric,202.82
Brand_636,Organic Cotton,150.62
Brand_637,Tencel,365.78
Brand_638,Tencel,102.99
Brand_639,Tencel,65.67
Brand_640,Hemp,157.36
Brand_641,Tencel,301.22
Brand_642,Hemp,358.46
Brand_643,Recycled Polyester,92.63
Brand_644,Bamboo Fabric,186.74
Brand_645,Bamboo Fabric,363.51
Brand_646,Hemp,131.41
Brand_647,Tencel,365.57
Brand_648,Tencel,296.33
Brand_649,Tencel,370.37
Brand_650,Vegan Leather,474.05
Brand_651,Tencel,168.59
Brand_652,Bamboo Fabric,178.75
Brand_653,Tencel,481.5
Brand_654,Bamboo Fabric,427.54
Brand_655,Recycled Polyester,251.43
Brand_656,Bamboo Fabric,50.27
Brand_657,Bamboo Fabric,8.42
Brand_658,Organic Cotton,471.24
Brand_659,Tencel,265.2
Brand_660,Vegan Leather,485.88
Brand_661,Tencel,209.82
Brand_662,Recycled Polyester,499.25
Brand_663,Organic Cotton,314.56
Brand_664,Vegan Leather,161.28
Brand_665,Hemp,49.25
Brand_666,Vegan Leather,120.71
Brand_667,Bamboo Fabric,2.62
Brand_668,Hemp,99.8
Brand_669,Tencel,390.65
Brand_670,Bamboo Fabric,462.72
Brand_671,Hemp,316.3
Brand_672,Tencel,202.45
Brand_673,Tencel,382.76
Brand_674,Recycled Polyester,431.4
Brand_675,Recycled Polyester,51.66
Brand_676,Organic Cotton,464.1
Brand_677,Organic Cotton,496.96
Brand_678,Hemp,497.95
Brand_679,Vegan Leather,461.97
Brand_680,Organic Cotton,22.87
Brand_681,Hemp,264.62
Brand_682,Tencel,319.46
Brand_683,Hemp,222.37
Brand_684,Bamboo Fabric,368.52
Brand_685,Tencel,432.84
Brand_686,Vegan Leather,324.7
Brand_687,Hemp,122.04
Brand_688,Hemp,469.03
Brand_689,Recycled Polyester,370.5
Brand_690,Recycled Polyester,242.02
Brand_691,Vegan Leather,238.98
Brand_692,Recycled Polyester,246.98
Brand_693,Vegan Leather,50.66
Brand_694,Hemp,472.7
Brand_695,Vegan Leather,58.93
Brand_696,Tencel,345.87
Brand_697,Hemp,371.86
Brand_698,Bamboo Fabric,183.24
Brand_699,Hemp,409.13
Brand_700,Vegan Leather,116.07
Brand_701,Hemp,276.72
Brand_702,Organic Cotton,320.74
Brand_703,Vegan Leather,371.45
Brand_704,Tencel,329.09
Brand_705,Tencel,387.37
Brand_706,Organic Cotton,126.01
Brand_707,Organic Cotton,478.6
Brand_708,Recycled Polyester,423.81
Brand_709,Tencel,372.61
Brand_710,Recycled Polyester,383.69
Brand_711,Hemp,57.42
Brand_712,Tencel,67.61
Brand_713,Hemp,3.34
Brand_714,Hemp,330.3
Brand_715,Bamboo Fabric,120.41
Brand_716,Bamboo Fabric,75.39
Brand_717,Hemp,141.84
Brand_718,Recycled Polyester,62.71
Brand_719,Organic Cotton,403.07
Brand_720,Organic Cotton,383.54
Brand_721,Hemp,374.66
Brand_722,Hemp,298.73
Brand_723,Organic Cotton,235.96
Brand_724,Hemp,125.8
Brand_725,Tencel,320.2
Brand_726,Tencel,155.73
Brand_727,Recycled Polyester,361.92
Brand_728,Tencel,393.88
Brand_729,Vegan Leather,395.88
Brand_730,Hemp,490.57
Brand_731,Bamboo Fabric,391.19
Brand_732,Tencel,67.23
Brand_733,Recycled Polyester,439.75
Brand_734,Organic Cotton,417.33
Brand_735,Tencel,246.15
Brand_736,Organic Cotton,415.82
Brand_737,Hemp,403.7
Brand_738,Hemp,362.27
Brand_739,Bamboo Fabric,477.51
Brand_740,Hemp,107.67
Brand_741,Recycled Polyester,86.87
Brand_742,Organic Cotton,316.57
Brand_743,Hemp,305.77
Brand_744,Recycled Polyester,245.74
Brand_745,Organic Cotton,328.95
Brand_746,Bamboo Fabric,107.81
Brand_747,Vegan Leather,449.46
Brand_748,Recycled Polyester,62.97
Brand_749,Recycled Polyester,366.55
Brand_750,Hemp,307.29
Brand_751,Tencel,428.59
Brand_752,Organic Cotton,246.83
Brand_753,Hemp,299.12
Brand_754,Bamboo Fabric,367.62
Brand_755,Vegan Leather,37.99
Brand_756,Tencel,214.77
Brand_757,Bamboo Fabric,446.59
Brand_758,Hemp,481.37
Brand_759,Organic Cotton,482.32
Brand_760,Tencel,398.64
Brand_761,Tencel,121.73
Brand_762,Bamboo Fabric,136.47
Brand_763,Hemp,345.23
Brand_764,Vegan Leather,444.42
Brand_765,Vegan Leather,200.79
Brand_766,Recycled Polyester,286.31
Brand_767,Vegan Leather,245.07
Brand_768,Organic Cotton,359.43
Brand_769,Bamboo Fabric,98.16
Brand_770,Vegan Leather,424.6
Brand_771,Hemp,9.16
Brand_772,Bamboo Fabric,280.52
Brand_773,Vegan Leather,239.95
Brand_774,Tencel,32.99
Brand_775,Bamboo Fabric,89
Brand_776,Bamboo Fabric,321.74
Brand_777,Organic Cotton,300.42
Brand_778,Hemp,275.56
Brand_779,Hemp,178.31
Brand_780,Recycled Polyester,120.73
Brand_781,Vegan Leather,359.58
Brand_782,Recycled Polyester,176.26
Brand_783,Tencel,169.84
Brand_784,Tencel,274.64
Brand_785,Recycled Polyester,292.27
Brand_786,Organic Cotton,65.12
Brand_787,Tencel,115.71
Brand_788,Hemp,170.61
Brand_789,Recycled Polyester,437.95
Brand_790,Bamboo Fabric,451.76
Brand_791,Bamboo Fabric,138.51
Brand_792,Vegan Leather,424.24
Brand_793,Hemp,10.49
Brand_794,Tencel,308.8
Brand_795,Vegan Leather,139.97
Brand_796,Tencel,422.55
Brand_797,Bamboo Fabric,447.71
Brand_798,Organic Cotton,348.3
Brand_799,Vegan Leather,362.65
Brand_800,Hemp,170.89
